10000 20000
6765 500 -2419
2114 501 -4775
7633 502 1326
9317 503 -8353
1967 504 -1200
6357 505 -2207
9841 506 916
8974 507 -2218
1 508 -3941
4282 509 2889
9339 510 -8289
9839 511 -6085
4722 512 2206
3347 513 -8175
7908 514 -4323
5782 515 -740
3591 516 3356
5188 517 -7062
8945 518 -2903
1592 519 -1904
9819 520 -5014
7241 521 -8992
7126 522 1935
7757 523 -2609
2760 524 -5550
6628 525 3927
9951 526 -1706
1507 527 -5732
6302 528 -270
4317 529 2437
2618 530 -2825
671 531 -534
6384 532 2136
382 533 2162
5339 534 427
3611 535 -1653
9203 536 3173
9201 537 -1298
1564 538 -1767
2114 539 -4855
1616 540 4792
2947 541 -566
6436 542 1604
4879 543 -3557
7566 544 1762
2193 545 -4081
707 546 -6153
7448 547 316
8363 548 1114
4791 549 -5669
564 550 -7188
2739 551 -1016
3900 552 766
502 553 -2393
4663 554 1912
1287 555 2192
8103 556 3677
8369 557 -4408
6910 558 2095
1046 559 -3097
4217 560 -6860
9528 561 -6370
7205 562 -8758
1536 563 -8907
2790 564 -1179
9593 565 -5187
1721 566 -9195
4469 567 3686
948 568 -4950
1892 569 -7388
7301 570 -5278
6676 571 -7131
9053 572 -2898
3621 573 -9414
5187 574 -9304
9044 575 -3405
9188 576 -3162
8398 577 2379
7096 578 2572
7435 579 4569
8713 580 2374
6905 581 -9098
8852 582 -7805
515 583 -8563
3872 584 -8755
8750 585 -6747
8544 586 2880
6938 587 -8639
2261 588 1137
4982 589 -1487
4214 590 723
6044 591 -8687
8599 592 -8452
7465 593 -6145
4135 594 -9256
3537 595 986
3939 596 -3061
9853 597 3502
7011 598 -1023
5132 599 4541
3686 600 -3619
6020 601 -824
6153 602 876
4281 603 -9273
3235 604 1117
9358 605 -4117
3045 606 -2339
4794 607 -4400
44 608 773
1407 609 2760
9524 610 3586
7465 611 -6365
8297 612 -9399
771 613 -8404
4054 614 2621
741 615 -4251
7277 616 1603
5214 617 -2278
8057 618 -3895
3122 619 -5
6462 620 3517
9124 621 -4719
2451 622 2825
3305 623 -6164
6587 624 -8741
7600 625 -4030
464 626 -3310
9132 627 1277
4304 628 -33
6639 629 -978
347 630 1591
5594 631 3338
3481 632 904
5155 633 -4355
7935 634 -3136
7444 635 -3529
9571 636 3413
5179 637 -2464
214 638 1997
7246 639 -6585
6966 640 -1951
8419 641 4155
9627 642 1325
3716 643 3773
2845 644 -6513
953 645 -7273
6803 646 1301
9911 647 -7342
5611 648 1678
6627 649 -9678
1488 650 -7956
9344 651 -2912
262 652 -7065
6127 653 -5843
5613 654 -5247
1650 655 -4291
2454 656 950
7898 657 4604
2878 658 4180
7622 659 -4074
7996 660 -1830
8032 661 -6080
7496 662 2812
6347 663 -2042
8435 664 -1947
2726 665 -3599
7832 666 -2107
6950 667 -2438
9411 668 -8211
6309 669 1716
4074 670 1522
5397 671 -8993
7003 672 418
258 673 4604
777 674 3379
6587 675 -4048
6863 676 1687
1896 677 -8345
3343 678 2403
5987 679 3105
2949 680 149
8586 681 -5428
8369 682 -4275
8897 683 4527
7290 684 2151
3452 685 88
7691 686 -4047
2719 687 -7808
956 688 3626
9949 689 4282
5549 690 3233
3519 691 -9448
1375 692 2994
6241 693 -7665
4765 694 1557
1705 695 -928
2809 696 -3211
5664 697 -6534
137 698 -1402
3206 699 -3179
394 700 -6059
4766 701 -5954
636 702 -6208
6212 703 4021
1197 704 2775
9222 705 -5245
3156 706 948
132 707 -2151
9888 708 3042
5738 709 -6998
4287 710 -3768
9644 711 -117
7152 712 1531
2381 713 807
4257 714 -4184
1072 715 177
1295 716 -5140
4442 717 -2810
4260 718 -1601
1022 719 1232
3417 720 -1161
625 721 -3338
5578 722 4147
2233 723 4206
1611 724 -4892
2027 725 -8188
6272 726 -4001
928 727 -1175
7407 728 -4408
1008 729 -2668
4686 730 521
4438 731 -3871
4959 732 3124
9575 733 3279
9864 734 -1590
1442 735 -3253
452 736 3022
4964 737 -2832
3107 738 2946
7104 739 2402
9914 740 -6882
5394 741 2754
7876 742 -9293
6223 743 -6130
5179 744 3178
3849 745 -8873
1325 746 -8142
3754 747 -9952
3968 748 -5585
3941 749 1157
2661 750 4930
1300 751 -5096
2362 752 4548
6802 753 -9399
3103 754 3094
4787 755 2901
9488 756 -4142
4715 757 -9707
1706 758 -3332
9199 759 -5037
4066 760 1062
521 761 -9282
9965 762 2356
9571 763 -5308
1 764 -6400
5629 765 4043
2735 766 -8489
8812 767 4366
8383 768 107
2425 769 -4273
1042 770 -489
2124 771 -9150
3941 772 -9781
5221 773 2646
1535 774 -5100
4282 775 2807
3838 776 -2091
3022 777 -1161
5155 778 977
6463 779 3128
2223 780 -936
2999 781 -5463
4500 782 -1487
552 783 -7380
1048 784 -2201
7611 785 4480
2646 786 3360
1316 787 4583
5867 788 -9377
5219 789 -5627
7014 790 188
4268 791 -2405
3460 792 -8558
9863 793 4839
2819 794 -907
3244 795 -7166
9277 796 -3098
8517 797 -9149
6711 798 -7461
1760 799 -7569
2413 800 -439
3293 801 -4628
968 802 -6974
2845 803 -8103
7467 804 -6125
5187 805 -9575
7155 806 -8771
4053 807 3300
2161 808 -1287
6051 809 4809
4461 810 -8398
3788 811 3072
517 812 2494
1044 813 -1753
4059 814 2026
8799 815 -445
5319 816 -2185
589 817 -8848
8092 818 -4677
9764 819 -4016
7981 820 4865
2094 821 -7479
6902 822 -710
8634 823 -6054
3983 824 -8446
6711 825 3225
6950 826 -8554
5187 827 -3236
6910 828 2947
2038 829 -6844
4195 830 1487
9261 831 3518
2567 832 -6998
8650 833 -595
8294 834 -8734
7587 835 -1265
4969 836 1503
223 837 -2403
7467 838 -7460
6398 839 1608
7798 840 -3921
2795 841 -904
6232 842 -285
9042 843 4941
6054 844 -5941
3562 845 2326
1269 846 -4731
6332 847 -640
3629 848 -221
8700 849 4489
4669 850 3007
3648 851 -6013
9471 852 3352
8629 853 3438
9060 854 3512
8963 855 1356
1841 856 -8971
5117 857 -8161
9039 858 3799
6554 859 1973
3156 860 4762
6161 861 -2437
4282 862 4406
1143 863 -8377
3457 864 4695
9941 865 4744
9058 866 1487
8552 867 -3762
7199 868 -976
6492 869 -1771
8300 870 -8685
729 871 -3204
1764 872 -2082
8741 873 3637
946 874 -1132
980 875 1972
1036 876 4210
3543 877 -4697
4355 878 -9208
5578 879 -2811
7250 880 96
4879 881 -5060
8296 882 -6506
8713 883 3610
6168 884 -1537
1594 885 -1851
3105 886 4662
3411 887 -1107
115 888 -6912
5939 889 -3833
8386 890 3967
7191 891 -4340
4750 892 344
497 893 -2803
5286 894 3796
8422 895 -2383
5035 896 -7334
605 897 -2497
9609 898 -1421
2543 899 1293
2076 900 2002
7652 901 -4805
198 902 -216
3852 903 -5417
1586 904 42
804 905 2553
5259 906 -5784
7666 907 -7847
2899 908 -8125
515 909 3663
9702 910 3609
1733 911 -1342
991 912 -3696
1008 913 4696
5028 914 -5525
7569 915 29
6796 916 631
2304 917 2582
8058 918 4654
4258 919 -4934
5397 920 -4065
8703 921 1454
4248 922 -4489
773 923 -2663
5640 924 -2994
8358 925 975
9740 926 -4910
3684 927 -7394
2696 928 -7204
6969 929 -1790
1633 930 -461
9791 931 4210
7442 932 4413
2601 933 767
4661 934 -1135
4412 935 1023
5759 936 -503
1313 937 1628
8807 938 -2206
4879 939 4515
7714 940 -6309
7251 941 4096
1926 942 3368
6382 943 -1140
7678 944 -8561
6445 945 -1987
859 946 -5690
6080 947 -7055
7117 948 1459
822 949 -6881
9751 950 -7136
3207 951 -6011
7643 952 -6192
4431 953 4902
907 954 1507
6925 955 -8860
5174 956 37
2518 957 -740
5188 958 -3148
4700 959 2004
7886 960 -7481
7236 961 4009
9777 962 3121
6591 963 -5937
8937 964 -8768
9624 965 73
8381 966 -4249
2472 967 4456
3965 968 -2194
7755 969 -2117
7598 970 -2851
9777 971 4232
507 972 -1613
8569 973 -9981
7167 974 -5165
9069 975 -9660
2366 976 -7022
9154 977 4093
7792 978 101
890 979 -3177
9386 980 964
1143 981 -9091
3193 982 1010
1 983 3219
132 984 1139
4642 985 -2305
1656 986 3417
2087 987 -6921
453 988 1041
703 989 -5078
7386 990 -9093
3958 991 4491
4071 992 -7319
7475 993 -8368
4000 994 -3840
8891 995 2690
5642 996 4861
6207 997 -8738
7274 998 -6481
4571 999 4827
8925 1000 1197
8169 1001 -6016
8023 1002 -5915
5216 1003 -7453
363 1004 299
131 1005 -8526
4609 1006 2731
4674 1007 3173
9393 1008 -7328
1731 1009 4475
679 1010 -8449
2092 1011 4231
4859 1012 -6315
8417 1013 -8303
153 1014 -4750
5300 1015 -2498
9325 1016 -2795
1253 1017 -1926
5755 1018 3875
7525 1019 786
3077 1020 2334
2935 1021 -4254
8350 1022 -9477
5227 1023 1103
33 1024 -4366
5488 1025 -2204
760 1026 -2542
7646 1027 -6071
2848 1028 -6040
8750 1029 -5816
3607 1030 -5848
7619 1031 -5359
4111 1032 2863
3089 1033 -4041
9635 1034 -6653
4726 1035 569
9679 1036 -4731
577 1037 2220
237 1038 970
628 1039 4854
2642 1040 -7970
3287 1041 -7627
6081 1042 -6543
4143 1043 -3865
5786 1044 -989
9356 1045 -5996
8365 1046 -9650
7628 1047 -1720
8932 1048 -2004
3559 1049 -3109
6510 1050 -9702
2646 1051 3294
6143 1052 1777
3420 1053 343
7395 1054 4921
4171 1055 2646
1870 1056 -3105
8369 1057 1429
4523 1058 -45
5656 1059 2741
3537 1060 1061
4201 1061 -9110
8891 1062 -4256
2154 1063 1030
1301 1064 -6027
1211 1065 3898
3150 1066 2693
8625 1067 -8171
6752 1068 -8466
7325 1069 -9239
5702 1070 -1327
2935 1071 3638
3192 1072 -4517
2070 1073 -1015
9427 1074 700
1979 1075 -72
6117 1076 3681
4461 1077 -3633
5833 1078 1497
9022 1079 4042
5269 1080 -7529
5259 1081 -7113
4541 1082 -8753
7104 1083 4538
859 1084 3236
440 1085 -7629
7892 1086 -6825
7785 1087 3738
2241 1088 4338
9128 1089 2702
5810 1090 278
9831 1091 62
7657 1092 -9901
1450 1093 4322
1255 1094 -9194
2169 1095 3571
8732 1096 -4351
4802 1097 -7258
75 1098 -9863
7937 1099 -1005
3657 1100 -9808
4280 1101 -5101
4318 1102 -6913
4316 1103 -8073
8179 1104 -8586
4765 1105 -1899
1144 1106 -5311
5271 1107 -6389
2860 1108 -3235
7057 1109 -365
9968 1110 -774
7929 1111 -2493
4523 1112 -1483
3789 1113 2310
3933 1114 3409
2994 1115 891
7428 1116 -5336
4540 1117 -3559
5822 1118 4488
5773 1119 -9140
1733 1120 1506
8569 1121 -1952
7141 1122 -8355
2004 1123 4586
2051 1124 4564
859 1125 1218
4246 1126 -8956
3519 1127 -1140
2454 1128 -2050
8134 1129 -2048
5860 1130 -7430
2052 1131 145
9447 1132 -1726
8358 1133 -3537
9022 1134 -8302
8934 1135 3515
9349 1136 -8152
127 1137 -2267
7886 1138 -3927
4622 1139 -5992
5345 1140 -3087
6881 1141 -1256
846 1142 -6929
8732 1143 1599
4282 1144 -5681
4656 1145 127
7499 1146 2582
5207 1147 -4722
4833 1148 -662
6995 1149 -2902
6526 1150 -5982
1567 1151 -5805
1344 1152 -3860
5448 1153 -5965
7388 1154 -5266
9128 1155 -961
625 1156 296
9722 1157 -9812
5628 1158 -8791
5392 1159 -2675
975 1160 -4185
6786 1161 1272
6355 1162 -3629
6057 1163 -1589
4171 1164 4485
5272 1165 -6669
6067 1166 -1169
3683 1167 -6010
6486 1168 -8028
6191 1169 -4978
9250 1170 -1663
1563 1171 3659
5412 1172 3155
9905 1173 4388
9316 1174 -5659
4802 1175 1136
2364 1176 -4320
7255 1177 4279
9743 1178 1558
2283 1179 -1333
1584 1180 2851
5132 1181 3701
3661 1182 -8895
1866 1183 -1920
3614 1184 -1566
9744 1185 -2333
8753 1186 -7388
731 1187 -7157
7093 1188 1210
5000 1189 1702
1341 1190 -6660
6547 1191 -985
7991 1192 3142
4660 1193 2658
7481 1194 -4742
1127 1195 -7861
362 1196 -7996
775 1197 -3661
4955 1198 1182
3609 1199 -5630
3604 1200 -4919
2746 1201 781
9270 1202 -8571
7705 1203 -4628
9132 1204 -688
3154 1205 -4927
5945 1206 1967
8650 1207 -6559
1276 1208 1086
1456 1209 -9513
4773 1210 2160
7664 1211 3221
9763 1212 4445
7609 1213 -5217
4145 1214 271
4538 1215 -1929
309 1216 3489
5792 1217 1064
2346 1218 -3506
3495 1219 -9233
185 1220 -4666
5398 1221 -6970
6301 1222 -7593
7323 1223 -1587
7481 1224 -2759
9225 1225 1469
8447 1226 -5917
580 1227 -1142
4757 1228 -2501
9285 1229 126
8621 1230 1061
1336 1231 -531
8674 1232 -4057
505 1233 3419
3169 1234 -6323
2699 1235 -5523
5455 1236 -5551
2085 1237 -4508
5363 1238 -384
5543 1239 -3621
8653 1240 -9193
2955 1241 -3198
8481 1242 2303
5690 1243 -8029
6518 1244 -8695
5992 1245 -8940
260 1246 1191
3336 1247 -5785
3155 1248 3454
9973 1249 -3334
4852 1250 -4231
2402 1251 -3257
485 1252 1828
2735 1253 -853
8119 1254 3285
9740 1255 -6773
7784 1256 2925
2134 1257 -1076
5895 1258 -2046
2524 1259 -7196
8050 1260 -1692
6711 1261 -9037
2217 1262 -359
5033 1263 -9913
8883 1264 -9068
1956 1265 -5503
6608 1266 -3519
9370 1267 1057
1678 1268 -1360
1536 1269 -6271
5156 1270 -7506
4753 1271 3103
2653 1272 -6179
723 1273 -8573
1876 1274 -7038
1339 1275 -5021
2741 1276 -4952
6483 1277 -710
4628 1278 3735
8297 1279 1396
9421 1280 528
280 1281 1721
9538 1282 -3755
5616 1283 -2470
3118 1284 -6563
1638 1285 988
7217 1286 -2004
1392 1287 86
1060 1288 -6329
8369 1289 365
4752 1290 4784
6141 1291 -7666
5445 1292 -9990
3314 1293 -1537
4162 1294 -3736
8364 1295 -1827
2746 1296 -7278
7474 1297 -3239
6189 1298 -5905
6584 1299 -7980
8434 1300 -9011
5278 1301 3397
9459 1302 2811
4025 1303 -9142
3347 1304 704
2719 1305 -3512
3600 1306 1392
7326 1307 -9784
8683 1308 -574
812 1309 -497
9708 1310 -3327
9222 1311 -2771
5950 1312 1637
7255 1313 -9950
449 1314 -5930
784 1315 -4305
5726 1316 3851
1170 1317 -1671
8781 1318 -4098
4237 1319 -232
8826 1320 -1416
2725 1321 3120
2312 1322 3399
5867 1323 -5773
9905 1324 4250
3705 1325 -2743
8829 1326 -4642
2067 1327 -9556
940 1328 -1826
5829 1329 -5671
5414 1330 176
434 1331 3666
5829 1332 -2171
4132 1333 3962
5695 1334 -7361
9308 1335 -9466
2560 1336 -9938
6079 1337 -2462
9945 1338 -87
4920 1339 4663
5619 1340 -9613
111 1341 -707
1177 1342 -3426
7567 1343 -83
4879 1344 -7807
4196 1345 -1789
707 1346 -5517
6036 1347 -830
5594 1348 2888
6482 1349 634
7969 1350 -5890
4656 1351 -1396
8275 1352 -9288
9753 1353 -8465
4953 1354 -2527
573 1355 -4575
4657 1356 -5300
862 1357 -3940
8109 1358 -6646
9864 1359 -688
8172 1360 4078
6355 1361 -6493
6013 1362 -556
5854 1363 -6756
6958 1364 -4558
6096 1365 -5368
1384 1366 -4962
3863 1367 199
771 1368 2858
7104 1369 -3276
238 1370 -9774
9913 1371 -5518
5242 1372 -3677
1413 1373 -3724
4281 1374 1827
9899 1375 2498
1467 1376 77
4046 1377 2414
6950 1378 133
639 1379 3910
253 1380 -4163
7986 1381 -9046
7450 1382 769
3072 1383 3458
8193 1384 -1380
2087 1385 2897
6270 1386 -640
3297 1387 -6974
6393 1388 463
3395 1389 -2496
850 1390 -8046
333 1391 -6268
9115 1392 -7091
7411 1393 4717
1696 1394 1435
8167 1395 -4024
5235 1396 562
9710 1397 2380
4639 1398 1932
224 1399 -3716
6181 1400 -9705
6231 1401 -5174
1450 1402 -6149
4281 1403 -9842
7246 1404 -6846
9119 1405 2252
2202 1406 -2350
8893 1407 -6051
7893 1408 -518
3722 1409 -498
5755 1410 -5601
2857 1411 1051
6645 1412 -2324
6845 1413 -7532
2764 1414 -7092
5392 1415 -9434
9866 1416 -8356
2586 1417 -5328
9863 1418 2155
3666 1419 3017
93 1420 -2680
1190 1421 3903
4364 1422 1771
9881 1423 4824
3035 1424 -3917
9294 1425 582
3499 1426 1582
4718 1427 788
9100 1428 2179
6091 1429 -244
8393 1430 -3223
4643 1431 -8140
9243 1432 -8505
2020 1433 -4283
1706 1434 1480
1721 1435 -9266
34 1436 2772
976 1437 -5357
8540 1438 -4487
5962 1439 -1412
1524 1440 -1832
7895 1441 3742
9383 1442 4026
5396 1443 -4968
5631 1444 -7565
5208 1445 -1661
8891 1446 442
530 1447 3225
9874 1448 -2351
5124 1449 3758
5739 1450 -8234
5398 1451 -3867
4563 1452 -5549
8097 1453 -8207
8312 1454 1446
4765 1455 -7900
7941 1456 -4808
4805 1457 46
377 1458 -3899
8846 1459 -4258
1875 1460 -2629
623 1461 -8146
8506 1462 -8934
1672 1463 -2400
6775 1464 -4739
5035 1465 -8394
6142 1466 -6613
509 1467 -1158
6824 1468 -5805
8033 1469 2760
2594 1470 -4586
5662 1471 -5761
4070 1472 263
2646 1473 -4591
673 1474 -6961
283 1475 505
8032 1476 667
5122 1477 450
7599 1478 -9107
7028 1479 1072
9126 1480 3329
134 1481 -4811
8887 1482 1731
8202 1483 3323
6818 1484 -9520
4947 1485 1203
254 1486 1205
9317 1487 -2024
5823 1488 4675
8716 1489 -9037
2563 1490 -9863
2868 1491 -5211
3621 1492 3685
9753 1493 -5587
9079 1494 -4321
4792 1495 -274
9154 1496 934
8565 1497 -5993
9550 1498 -6693
1506 1499 2282
8118 1500 -258
9580 1501 -9241
7623 1502 -2458
1901 1503 -9576
4578 1504 -2481
9510 1505 -9618
3645 1506 -5877
3372 1507 -5917
6337 1508 -8362
9366 1509 1836
5450 1510 -2741
3636 1511 3673
2173 1512 -1130
4476 1513 1708
6323 1514 -5852
5330 1515 1214
1172 1516 -3327
2246 1517 -3137
4542 1518 793
6815 1519 -7406
8441 1520 -3254
179 1521 -9778
474 1522 -5067
7255 1523 -3080
8033 1524 -6701
3802 1525 -7981
8809 1526 -432
7471 1527 -3070
8961 1528 -6312
6435 1529 2623
4972 1530 -735
3875 1531 -5481
8653 1532 -684
1926 1533 4659
8850 1534 -429
9018 1535 -5146
319 1536 -5417
8177 1537 1993
503 1538 -6565
9596 1539 -9642
5755 1540 -2685
8059 1541 -1236
2364 1542 -3901
5900 1543 4539
3330 1544 -8128
9708 1545 -8111
2134 1546 175
1572 1547 3082
6168 1548 1338
1023 1549 4461
7280 1550 4400
481 1551 3217
3460 1552 -1491
5885 1553 4852
9710 1554 -6532
5133 1555 1458
7087 1556 -7711
8205 1557 -3730
2118 1558 -3962
7334 1559 1995
9099 1560 -6131
4726 1561 -2678
1128 1562 3142
4465 1563 -6837
7272 1564 2262
4053 1565 3221
1650 1566 -307
5981 1567 -3671
7984 1568 -2989
8167 1569 -9204
3770 1570 -4041
7274 1571 -1207
6554 1572 -4876
7301 1573 -798
9668 1574 -305
1081 1575 -5538
3411 1576 3142
6990 1577 -8231
2672 1578 -2400
2538 1579 -9510
1986 1580 2288
310 1581 -6211
5210 1582 1937
3923 1583 -4368
3380 1584 -3133
6143 1585 -4788
3320 1586 -6802
5205 1587 4597
3770 1588 -360
219 1589 -9141
