5000 21840
3197 1099 -587
4827 1100 -347
3517 1101 628
2876 1102 -91
3709 1103 -935
4428 1104 -965
964 1105 793
2557 1106 39
2613 1107 -832
964 1108 437
1680 1109 570
298 1110 95
2726 1111 145
3375 1112 784
4288 1113 -740
2362 1114 114
1616 1115 145
4699 1116 -577
893 1117 408
4149 1118 -15
4657 1119 -548
3470 1120 391
1409 1121 86
2828 1122 -574
4709 1123 -700
1819 1124 -13
2869 1125 699
64 1126 390
2198 1127 -578
1918 1128 220
961 1129 -304
886 1130 -532
4814 1131 955
427 1132 385
2514 1133 220
2830 1134 -72
3913 1135 344
1768 1136 -57
3400 1137 72
2932 1138 647
3975 1139 -832
3237 1140 -972
1834 1141 584
3430 1142 -928
2631 1143 582
3309 1144 214
81 1145 449
2199 1146 -912
3288 1147 149
4345 1148 -250
2429 1149 -106
2623 1150 416
4383 1151 256
1547 1152 628
1597 1153 575
980 1154 -873
417 1155 -141
1078 1156 -802
2264 1157 -873
4478 1158 -532
2816 1159 731
1294 1160 -975
1858 1161 712
1386 1162 878
1541 1163 98
1829 1164 409
3909 1165 513
2653 1166 -40
2905 1167 -523
3595 1168 156
1833 1169 -401
1890 1170 -830
263 1171 -970
4407 1172 319
4919 1173 -26
365 1174 674
2372 1175 -745
1648 1176 386
4534 1177 -343
3422 1178 -569
3175 1179 -559
2194 1180 385
2970 1181 327
4534 1182 -866
3004 1183 -261
2751 1184 911
743 1185 286
2538 1186 -165
467 1187 779
1338 1188 833
4702 1189 -29
624 1190 73
3175 1191 618
4059 1192 163
2097 1193 364
4132 1194 -545
2529 1195 -508
1455 1196 838
1647 1197 920
3077 1198 -665
4961 1199 -244
3472 1200 -853
489 1201 -778
4281 1202 -93
4445 1203 -483
2277 1204 218
655 1205 815
3278 1206 670
2439 1207 -336
330 1208 -981
4986 1209 638
3038 1210 469
3208 1211 -637
4059 1212 924
1663 1213 349
3122 1214 -124
3705 1215 233
4651 1216 -716
3019 1217 526
3881 1218 590
4167 1219 777
3422 1220 39
3400 1221 -336
100 1222 597
1136 1223 -10
122 1224 2
1264 1225 97
3088 1226 -930
3823 1227 -981
683 1228 -695
1156 1229 188
1187 1230 -51
1936 1231 595
3365 1232 -465
2134 1233 765
4933 1234 -45
2764 1235 764
608 1236 -367
3 1237 183
3749 1238 871
4030 1239 -586
303 1240 639
1203 1241 -819
3869 1242 -988
761 1243 998
4459 1244 551
2353 1245 -944
1721 1246 244
267 1247 12
4093 1248 -472
1081 1249 -488
401 1250 -790
2936 1251 218
1223 1252 -246
3633 1253 462
1389 1254 -38
3881 1255 -274
2547 1256 4
1522 1257 185
2134 1258 -367
1584 1259 194
1711 1260 -562
1497 1261 -202
2066 1262 -397
3084 1263 -241
2670 1264 -689
1667 1265 42
1692 1266 -422
1984 1267 -836
2000 1268 -116
2895 1269 236
2856 1270 -605
2468 1271 -242
196 1272 -133
3844 1273 -899
4857 1274 -245
1517 1275 970
2503 1276 -659
2103 1277 995
1525 1278 189
2965 1279 -951
4111 1280 237
4498 1281 -726
2374 1282 28
1727 1283 -236
174 1284 -178
3312 1285 459
4538 1286 -689
4583 1287 736
3422 1288 -310
2199 1289 -614
4262 1290 482
2010 1291 -82
3327 1292 525
2036 1293 -146
1473 1294 -530
3162 1295 -745
1673 1296 -153
2152 1297 207
2177 1298 -905
3024 1299 448
3790 1300 17
1009 1301 711
2930 1302 -477
2420 1303 -433
3514 1304 188
3769 1305 35
215 1306 593
4231 1307 33
662 1308 238
966 1309 -225
460 1310 -350
1095 1311 141
4821 1312 319
2275 1313 -596
3888 1314 -777
247 1315 741
3329 1316 535
3835 1317 -235
3018 1318 -797
3061 1319 -651
2719 1320 686
2725 1321 -196
1823 1322 -33
2893 1323 -171
4469 1324 501
369 1325 -238
824 1326 -678
1019 1327 -928
2641 1328 -285
1395 1329 906
1846 1330 914
3288 1331 540
2437 1332 -159
748 1333 -699
2624 1334 950
310 1335 372
2363 1336 896
3671 1337 408
1083 1338 179
4021 1339 -668
780 1340 -119
955 1341 243
917 1342 -678
176 1343 125
4161 1344 -983
1611 1345 596
1309 1346 897
1062 1347 -623
2936 1348 -907
4662 1349 322
2757 1350 -117
4863 1351 -41
1690 1352 643
4467 1353 141
2168 1354 184
2314 1355 -909
1961 1356 -865
826 1357 -622
2790 1358 -470
1657 1359 -378
4396 1360 -839
4557 1361 8
668 1362 -893
3749 1363 289
1132 1364 244
3071 1365 -104
4776 1366 631
850 1367 936
1023 1368 -573
701 1369 986
4462 1370 527
4547 1371 82
4193 1372 -362
1635 1373 -319
1690 1374 411
4476 1375 360
2757 1376 -433
2740 1377 815
1139 1378 735
3352 1379 461
1484 1380 -836
3035 1381 -848
2094 1382 -296
530 1383 225
123 1384 781
1136 1385 933
883 1386 250
845 1387 -1000
2734 1388 134
3905 1389 -203
3355 1390 -304
4753 1391 867
2131 1392 778
3019 1393 191
358 1394 109
4830 1395 725
1809 1396 576
4676 1397 -307
4846 1398 -902
2928 1399 895
2070 1400 777
2051 1401 433
3017 1402 -698
1800 1403 109
3774 1404 -963
1614 1405 419
1456 1406 484
4332 1407 -403
4188 1408 -755
1481 1409 -984
1762 1410 -524
4448 1411 369
1590 1412 -91
1454 1413 108
4432 1414 -99
1584 1415 461
3288 1416 620
3307 1417 -915
534 1418 -439
3742 1419 686
1601 1420 -783
287 1421 290
3200 1422 -956
1036 1423 -601
3931 1424 -531
4874 1425 -935
2683 1426 -916
1362 1427 -28
2041 1428 352
1308 1429 238
1648 1430 -108
3197 1431 541
2719 1432 512
1141 1433 402
1004 1434 286
1472 1435 549
849 1436 206
2622 1437 -831
1648 1438 -942
1216 1439 -469
3422 1440 -785
917 1441 -185
417 1442 432
4281 1443 -54
4249 1444 717
882 1445 -226
2027 1446 -998
1033 1447 497
3323 1448 40
3371 1449 116
1447 1450 146
4646 1451 844
2492 1452 684
2631 1453 -186
680 1454 214
2199 1455 794
439 1456 484
4651 1457 151
4653 1458 -942
4374 1459 -494
1276 1460 -474
2264 1461 213
2018 1462 331
1189 1463 105
3762 1464 335
4609 1465 676
793 1466 599
139 1467 932
1925 1468 -252
1566 1469 -795
595 1470 84
4252 1471 475
3545 1472 582
4829 1473 -143
1554 1474 -945
3566 1475 180
1619 1476 -464
4035 1477 161
624 1478 361
807 1479 -672
1396 1480 -618
4333 1481 -270
2621 1482 -556
1146 1483 567
2009 1484 127
641 1485 977
2108 1486 338
2860 1487 -385
414 1488 162
2420 1489 -811
3347 1490 885
2905 1491 -324
1711 1492 -145
22 1493 545
2534 1494 -687
4383 1495 751
839 1496 -789
2068 1497 850
1600 1498 343
3187 1499 309
661 1500 -717
191 1501 -469
3370 1502 832
4045 1503 -188
3362 1504 389
1047 1505 -229
916 1506 -561
2379 1507 156
4811 1508 -387
287 1509 75
2642 1510 336
4995 1511 -594
3366 1512 411
4185 1513 445
1289 1514 -487
4133 1515 -483
2264 1516 -717
1798 1517 -38
951 1518 -411
1097 1519 622
2524 1520 -867
4014 1521 580
2911 1522 -362
4765 1523 521
160 1524 47
2417 1525 -726
3483 1526 -419
2242 1527 344
2240 1528 -544
3572 1529 538
3720 1530 -969
2277 1531 -239
1529 1532 708
3203 1533 376
1296 1534 -712
4493 1535 393
4667 1536 562
3327 1537 -148
4200 1538 -909
252 1539 806
3518 1540 347
2023 1541 -554
1179 1542 293
2667 1543 -878
1831 1544 450
3803 1545 -841
3048 1546 331
2716 1547 950
3083 1548 422
4055 1549 -824
636 1550 22
1953 1551 314
3159 1552 784
3359 1553 -346
3277 1554 781
2906 1555 420
1676 1556 731
3858 1557 564
1096 1558 423
386 1559 355
3931 1560 -225
100 1561 451
4701 1562 -196
3720 1563 -422
4573 1564 -254
3373 1565 -790
4573 1566 -762
590 1567 -416
2751 1568 414
1150 1569 749
1235 1570 254
1544 1571 -159
1508 1572 661
4663 1573 -786
2260 1574 52
2951 1575 79
1816 1576 441
4141 1577 629
2830 1578 -804
2026 1579 604
4607 1580 8
297 1581 29
3368 1582 -888
2305 1583 -187
4142 1584 -880
1554 1585 170
3003 1586 -651
777 1587 86
2800 1588 847
1287 1589 19
215 1590 -362
318 1591 -362
3435 1592 549
157 1593 742
996 1594 932
4786 1595 -630
1418 1596 -54
2043 1597 474
2004 1598 -661
3770 1599 -506
3774 1600 -621
4933 1601 955
195 1602 -579
2018 1603 756
2649 1604 602
4784 1605 -581
1405 1606 135
1449 1607 281
1948 1608 -934
2435 1609 -128
2367 1610 43
2734 1611 -586
2868 1612 -551
1118 1613 888
4715 1614 844
1037 1615 844
878 1616 -679
3792 1617 184
3048 1618 39
4784 1619 594
2090 1620 -906
2601 1621 -49
3329 1622 -375
1084 1623 557
2276 1624 178
3582 1625 778
2056 1626 -183
1933 1627 -797
1472 1628 -83
4721 1629 -856
4262 1630 -903
3484 1631 -767
3636 1632 734
3585 1633 635
807 1634 -884
3277 1635 40
3440 1636 788
4713 1637 -504
1228 1638 554
4920 1639 854
942 1640 -402
4008 1641 663
4240 1642 -584
3681 1643 -897
3418 1644 -457
1251 1645 242
356 1646 273
1019 1647 567
459 1648 78
4967 1649 -266
788 1650 236
4804 1651 -491
4400 1652 -807
2793 1653 98
2341 1654 -73
3377 1655 -139
3878 1656 -706
4986 1657 127
1788 1658 193
4448 1659 -125
2264 1660 679
160 1661 -455
3008 1662 -191
2308 1663 858
408 1664 -845
3990 1665 -561
155 1666 -457
2717 1667 786
2869 1668 -456
3481 1669 -412
1737 1670 510
1306 1671 481
2080 1672 -214
4582 1673 -461
440 1674 -689
23 1675 812
2912 1676 -739
930 1677 -216
4605 1678 -705
1816 1679 -90
1040 1680 -827
1545 1681 -924
4146 1682 177
1201 1683 -937
675 1684 477
2539 1685 441
98 1686 962
196 1687 485
3720 1688 -287
4020 1689 225
2624 1690 573
3512 1691 116
528 1692 -653
2590 1693 -527
4167 1694 -49
1895 1695 694
2837 1696 607
2974 1697 -764
4946 1698 -943
2414 1699 990
2407 1700 592
2753 1701 -871
2807 1702 -537
1390 1703 -842
3357 1704 594
165 1705 -377
2675 1706 -534
699 1707 -417
2492 1708 -291
1102 1709 841
469 1710 -433
991 1711 155
3133 1712 -867
1687 1713 794
1310 1714 251
1043 1715 -233
1050 1716 482
1235 1717 -754
1900 1718 -970
2482 1719 -363
3285 1720 -12
4146 1721 -142
1871 1722 389
4432 1723 49
3749 1724 -676
2927 1725 697
77 1726 -184
4715 1727 97
2642 1728 -972
2036 1729 476
3504 1730 291
3034 1731 -324
3486 1732 -632
3339 1733 487
1205 1734 775
3492 1735 -129
4341 1736 -255
3830 1737 -520
2264 1738 -923
865 1739 789
3780 1740 110
3083 1741 116
1940 1742 -717
1827 1743 -563
4059 1744 -474
4459 1745 821
2837 1746 354
2071 1747 -982
4346 1748 48
1155 1749 143
850 1750 747
618 1751 499
4035 1752 -712
2912 1753 634
1499 1754 -767
850 1755 799
14 1756 559
3837 1757 -969
3139 1758 658
3276 1759 781
2565 1760 828
4821 1761 -705
4383 1762 480
1226 1763 173
3761 1764 400
2953 1765 -545
1233 1766 -870
3773 1767 969
360 1768 -959
305 1769 676
114 1770 43
2518 1771 -623
2676 1772 650
597 1773 569
2025 1774 533
151 1775 683
3149 1776 619
3099 1777 -210
3303 1778 -117
2214 1779 -751
540 1780 334
3768 1781 112
1377 1782 -565
4469 1783 -180
4845 1784 -697
762 1785 -622
1871 1786 565
2286 1787 260
4551 1788 -118
3066 1789 162
3598 1790 -247
4367 1791 707
3618 1792 -4
1146 1793 -241
3356 1794 -504
3517 1795 -503
2848 1796 -587
1552 1797 215
4146 1798 24
1291 1799 -623
569 1800 -891
1077 1801 723
2187 1802 221
4160 1803 -522
930 1804 -730
333 1805 -937
2052 1806 -981
346 1807 -766
